,0
1175,SMIM19
1176,SMOC2
1177,SMYD2
1178,SNAP23
1179,SNCG
1180,SNED1
1181,SNHG9
1182,SNTB2
1183,SNTG2
1184,SNX1
1185,SNX31
1186,SOCS3
1187,SORBS1
1188,SORBS2
1189,SORCS1
1190,SOX5
1191,SOX6
1192,SPACA6
1193,SPATA6
1194,SPIDR
1195,SPNS2
1196,SPON1
1197,SPRED1
1198,SPSB1
1199,SQSTM1
1200,SRBD1
1201,SREBF1
1202,SRGAP2
1203,SRGN
1204,SRPK2
1205,SRPX
1206,SRPX2
1207,SRSF11
1208,SSBP2
1209,ST6GAL1
1210,ST6GALNAC3
1211,ST6GALNAC5
1212,ST7
1213,ST8SIA6
1214,STAB1
1215,STARD13
1216,STC1
1217,STEAP4
1218,STK4
1219,STOX2
1220,STT3A
1221,STX3
1222,STXBP5
1223,SULF1
1224,SVEP1
1225,SYNE1
1226,SYNE2
1227,SYNPO2
1228,SYNPR
1229,SYNRG
1230,SYTL3
1231,TACC1
1232,TAF1D
1233,TAGLN
1234,TBC1D14
1235,TBC1D22B
1236,TBCK
1237,TBL1XR1
1238,TBX20
1239,TBX5
1240,TBXAS1
1241,TC2N
1242,TCEAL9
1243,TCF4
1244,TCF7L2
1245,TCIM
1246,TEAD1
1247,TEC
1248,TECPR2
1249,TENM2
1250,TENM3
1251,TENM4
1252,TENT5A
1253,TET3
1254,TEX14
1255,TFPI
1256,TGFB3
1257,TGFBR3
1258,THBS1
1259,THBS2
1260,THEMIS
1261,THRAP3
1262,THSD4
1263,THUMPD1
1264,THUMPD3
1265,TIE1
1266,TIMP1
1267,TIMP3
1268,TLL1
1269,TLN2
1270,TM4SF1
1271,TMCO1
1272,TMCO4
1273,TMEFF2
1274,TMEM106A
1275,TMEM108
1276,TMEM131L
1277,TMEM132C
1278,TMEM135
1279,TMEM161B-AS1
1280,TMEM163
1281,TMEM178B
1282,TMEM51
1283,TMEM88
1284,TMSB10
1285,TMSB4X
1286,TMTC1
1287,TNC
1288,TNFAIP6
1289,TNFRSF21
1290,TNIK
1291,TNKS2
1292,TNNI3
1293,TNNT2
1294,TNNT3
1295,TNRC18
1296,TNRC6B
1297,TNRC6C
1298,TNS1
1299,TNXB
1300,TOGARAM2
1301,TOPBP1
1302,TPM2
1303,TPM4
1304,TPO
1305,TPRG1
1306,TPSB2
1307,TRAF3
1308,TRAPPC10
1309,TRDN
1310,TRERF1
1311,TRIM54
1312,TRIO
1313,TRMT9B
1314,TRPS1
1315,TSC22D1
1316,TSHZ2
1317,TSHZ3
1318,TSPAN9
1319,TTLL7
1320,TXLNB
1321,TYROBP
1322,U91319.1
1323,UAP1
1324,UBAC1
1325,UBAC2
1326,UBC
1327,UBE2E1
1328,UBE2E2
1329,UBE2R2
1330,UBE3A
1331,UGT2B4
1332,UPF2
1333,UPF3A
1334,USP15
1335,USP32
1336,USP36
1337,USP42
1338,USP53
1339,VAMP5
1340,VDAC2
1341,VEGFC
1342,VIPR2
1343,VIT
1344,VKORC1L1
1345,VMP1
1346,VOPP1
1347,VPS8
1348,VWC2
1349,VWF
1350,WAPL
1351,WDR20
1352,WDR76
1353,WIPF1
1354,WSB1
1355,WTIP
1356,WWC1
1357,WWOX
1358,XAF1
1359,XIRP2
1360,XIST
1361,XKR4
1362,YWHAE
1363,ZBTB20
1364,ZBTB7C
1365,ZC3H6
1366,ZDHHC14
1367,ZEB1
1368,ZEB2
1369,ZFHX3
1370,ZFP36
1371,ZFP36L1
1372,ZFP36L2
1373,ZFPM2
1374,ZGRF1
1375,ZMYM2
1376,ZMYND11
1377,ZNF337
1378,ZNF385B
1379,ZNF521
1380,ZNF532
1381,ZNF536
1382,ZNF608
1383,ZNF630
1384,ZNF644
1385,ZNRF3
1386,ZRANB2-AS1
1387,ZSWIM6
